hotel_code,hotel_name,address_line_1,address_line_2,description,amenities_json,pet_policy_description,pet_fees_json,weight_limits_json,phone,hotel_url,last_updated
vista,Hyatt Regency Grand Cypress Resort,One Grand Cypress Blvd.,"Orlando, Florida, United States, 32836",,"['Business Services', 'Digital Check-In', 'Electric Vehicle Charging', 'Fitness Center', 'Free Internet Access', 'Golf', 'Laundry', 'Meeting Facilities', 'Valet Parking', 'Self Parking', 'Premium Parking', 'Pet Friendly', 'Pool', 'Resort Property', 'Restaurant On-Site', 'Room Service']","We Are Pet Friendly
Dogs are welcome at Hyatt Regency Grand Cypress Resort. Just let the hotel know about your pet’s arrival 72 hours in advance. For those staying 30+ nights, a fee will be charged at the hotel’s discretion. Pet and deep cleaning fees will not apply for guests with service animals. *We welcome guests with disabilities traveling with their service animals. Service animals are not pets and are not subject to this Pet Policy. For more information, please contact the hotel.
Pet Fees
Up to 6 nights: $200 / 1 STAY
7 to 30 nights : $350 / 1 STAY
Weight Limits
Individual pet weight limit:  50 Pounds
Combined pets weight limit: 75 Pounds
Maximum number of pets is 2.",['Pet Fees\nUp to 6 nights: $200 / 1 STAY\n7 to 30 nights : $350 / 1 STAY'],"['Individual pet weight limit:  50 Pounds', 'Combined pets weight limit: 75 Pounds']",+14072391234,https://www.hyatt.com/hyatt-regency/en-US/vista-hyatt-regency-grand-cypress-resort,2025-12-27T21:53:47.430000
bosto,Hyatt Regency Boston,One Avenue de Lafayette,"Boston, Massachusetts, United States, 02111",,"['Business Services', 'Concierge', 'Digital Check-In', 'Digital Key', 'Fitness Center', 'Free Internet Access', 'Laundry', 'Meeting Facilities', 'Valet Parking', 'Self-Parking', 'Pet Friendly', 'Pool', 'Restaurant On-Site', 'Room Service']","We Are Pet Friendly
Hyatt Regency is certified by Pets Can Stay as one of the finest hotels to host your furry friend. Bring up to two dogs, as long as their combined weight is less than 75 pounds. For stays beyond 30 nights, a deep cleaning fee will be at the hotel's discretion. *We welcome guests with disabilities traveling with their service animals. Service animals are not pets and are not subject to this Pet Policy. For more information, please contact the hotel.
Pet Fees
1 to 6 nights (+tax) : $100
7-30 nights (+tax): $200
Weight Limits
Combined pets weight limit: 75 Pounds
Maximum number of pets is 2.",['Pet Fees\n1 to 6 nights (+tax) : $100\n7-30 nights (+tax): $200'],['Combined pets weight limit: 75 Pounds'],+16179121234,https://www.hyatt.com/hyatt-regency/en-US/bosto-hyatt-regency-boston,2025-12-27T21:54:01.673436
stlrs,Hyatt Regency St. Louis at The Arch,315 Chestnut Street,"St. Louis, Missouri, United States, 63102",,"['Business Services', 'In-Room Chromecast', 'Concierge', 'Digital Check-In', 'Digital Key', 'Fitness Center', 'Free Internet Access', 'Laundry', 'Meeting Facilities', 'Valet Parking', 'Self-Parking', 'Kiener East Garage', 'Pet Friendly', 'Restaurant On-Site', 'Room Service']","We Are Pet Friendly
8+ nights: Please contact the hotel for arrangements. *We welcome guests with disabilities traveling with their service animals. Service animals are not pets and are not subject to this Pet Policy. For more information, please contact the hotel.
Pet Fees
1 - 7 nights (Non-refundable) : $100 / 1 STAY
Weight Limits
Individual pet weight limit:  50 Pounds",['Pet Fees\n1 - 7 nights (Non-refundable) : $100 / 1 STAY'],['Individual pet weight limit:  50 Pounds'],+13146551234,https://www.hyatt.com/hyatt-regency/en-US/stlrs-hyatt-regency-st-louis-at-the-arch,2025-12-27T21:54:13.576340
tvllt,"Hyatt Regency Lake Tahoe Resort, Spa and Casino",111 Country Club Drive,"Incline Village, Nevada, United States, 89451",,"['Business Services', 'Casino', 'Concierge', 'Digital Check-In', 'Electric Vehicle Charging', 'Fitness Center', 'Free Internet Access', 'Laundry', 'Meeting Facilities', 'Valet Parking', 'Self-Parking', 'Pet Friendly', 'Pool', 'Resort Property', 'Restaurant On-Site', 'Ski', 'Spa']","We Are Pet Friendly
Dog-friendly rooms are limited and a minimum of 48-hours reservation notice is required. Please book dog-friendly rooms directly through our Reservations team at +1 800 233 1234. *We welcome guests with disabilities traveling with their service animals. Service animals are not pets and are not subject to this Pet Policy. For more information, visit our policy page (https://www.hyatt.com/hyatt-regency/en-US/tvllt-hyatt-regency-lake-tahoe-resort-spa-and-casino/policies) or contact the hotel directly. Please be advised: In compliance with safety and health standards, pets are not allowed in any of our restaurants.
Pet Fees
Per Day: $100",['Pet Fees\nPer Day: $100'],,+17758321234,https://www.hyatt.com/hyatt-regency/en-US/tvllt-hyatt-regency-lake-tahoe-resort-spa-and-casino,2025-12-27T21:54:26.310062
menph,Park Hyatt Mendoza,Chile 1124,"Mendoza, Argentina, 5500",,"['Concierge', 'Digital Check-In', 'Digital Key', 'Fitness Center', 'Free Internet Access', 'Free Parking', 'Laundry', 'Valet Parking', 'Self-parking', 'Pet Friendly', 'Pool', 'Room Service', 'Spa']","Pets Are Welcome
It’s hard to leave your best buddy at home when you travel. At Park Hyatt Mendoza, you can enjoy a pet-friendly extended stay-experience. Please reserve your pet-friendly room at least three days in advance of your arrival. 31+ nights: Please contact the hotel.
PET FEES
1–6 nights: $100 / STAY
7–30 nights: $200 / STAY
WEIGHT LIMITS
Individual pet weight limit:  50 Pounds
Combined pets weight limit: 75 Pounds
Maximum number of pets is 2.",['PET FEES\n1–6 nights: $100 / STAY\n7–30 nights: $200 / STAY'],"['Individual pet weight limit:  50 Pounds', 'Combined pets weight limit: 75 Pounds']",+542614411234,https://www.hyatt.com/park-hyatt/en-US/menph-park-hyatt-mendoza-hotel-casino-and-spa,2025-12-27T21:54:44.750723
nycph,Park Hyatt New York,153 West 57th Street,"New York, New York, United States, 10019",,"['Business Services', 'In-Room Chromecast', 'Concierge', 'Digital Check-In', 'Fitness Center', 'Free Internet Access', 'Laundry', 'Meeting Facilities', 'Valet Parking - Open Daily, 24 Hours', 'Self Parking - Open Daily, 24 Hours', 'Pet Friendly', 'Pool', 'Restaurant On-Site', 'Room Service', 'Spa']","Pet Friendly
Explore Manhattan with your canine companions during your stay at Park Hyatt New York, with its coveted location just steps from Central Park's myriad walking paths. In the room, your pet will enjoy its own pet bed, dog bowl with water, and treats. If you are planning an extended stay, contact our staff directly at +1 (646) 774 1234. *We welcome guests with disabilities traveling with their service animals. Service animals are not pets and are not subject to this Pet Policy. For more information, please contact the hotel.
PET FEES
1 - 5 nights: $200 / STAY
6 - 30 nights: $200 / STAY+ $200 (additional deep-cleaning fee)
WEIGHT LIMITS
Individual pet weight limit:  50 Pounds",['PET FEES\n1 - 5 nights: $200 / STAY\n6 - 30 nights: $200 / STAY+ $200 (additional deep-cleaning fee)'],['Individual pet weight limit:  50 Pounds'],+16467741234,https://www.hyatt.com/park-hyatt/en-US/nycph-park-hyatt-new-york,2025-12-27T21:54:56.973076
nycam,Andaz 5th Avenue,"485 5th Avenue At, E 41st St","New York, New York, United States, 10017",,,,,,+12126011234,https://www.hyatt.com/andaz/en-US/nycam-andaz-5th-avenue,2025-12-27T21:55:09.206094
oggaw,Andaz Maui at Wailea Resort,3550 Wailea Alanui Drive,"Wailea, Hawaii, United States, 96753",,,,,,+18085731234,https://www.hyatt.com/andaz/en-US/oggaw-andaz-maui-at-wailea-resort,2025-12-27T21:55:22.901862
atlgh,Grand Hyatt Atlanta in Buckhead,3300 Peachtree Road NE,"Atlanta, Georgia, United States, 30305",,"['Business Services', 'Concierge', 'Digital Check-In', 'Digital Key', 'Electric Vehicle Charging', 'Fitness Center', 'Free Internet Access', 'Laundry', 'Meeting Facilities', 'Valet Parking', 'Self-Parking', 'Pet Friendly', 'Pool', 'Restaurant On-Site', 'Room Service']","PETS ARE WELCOME
We are happy to welcome your traveling canine companions to our pet-friendly hotel in Buckhead. We offer the following for our furry friends on request: hypoallergenic Pet Beds and Pet Bowls. To participate in the pet program: Inform the hotel you’ll have a pet (or pets) staying with you at least three days in advance of your arrival. Keep in mind, only dogs weighing 70 pounds and under are permitted.
Pet Fees
Up to six nights: Free
Weight Limits
Individual pet weight limit:  50 Pounds
Combined pets weight limit: 70 Pounds
Maximum number of pets is 2.",['Pet Fees\nUp to six nights: Free'],"['Individual pet weight limit:  50 Pounds', 'Combined pets weight limit: 70 Pounds']",+14042371234,https://www.hyatt.com/grand-hyatt/en-US/atlgh-grand-hyatt-atlanta-in-buckhead,2025-12-27T21:55:42.368264
apcrn,Andaz Napa,1450 First Street,"Napa, California, United States, 94559",,,,,,+17076871234,https://www.hyatt.com/andaz/en-US/apcrn-andaz-napa,2025-12-27T21:55:56.967979
mcoro,Hyatt Regency Orlando,9801 International Drive,"Orlando, Florida, United States, 32819",,"['Business Services', 'Concierge', 'Digital Check-In', 'Digital Key', 'Electric Vehicle Charging', 'Fitness Center', 'Free Internet Access', 'Laundry', 'Meeting Facilities', 'Valet Parking', 'Self-Parking', 'Pet Friendly', 'Pool', 'Restaurant On-Site', 'Room Service', 'Spa']","We Are Pet Friendly
Your pets are welcome at Hyatt Regency Orlando. Please let us know you will be bringing your pet at least three days before your arrival. Seven or more nights: Please contact the hotel for more information. *We welcome guests with disabilities traveling with their service animals. Service animals are not pets and are not subject to this Pet Policy. For more information, please contact the hotel.
Pet Fees
Up to six nights: $150 / 1 STAY
Weight Limits
Individual pet weight limit:  50 Pounds
Combined pets weight limit: 75 Pounds
Maximum number of pets is 2.",['Pet Fees\nUp to six nights: $150 / 1 STAY'],"['Individual pet weight limit:  50 Pounds', 'Combined pets weight limit: 75 Pounds']",+14072841234,https://www.hyatt.com/hyatt-regency/en-US/mcoro-hyatt-regency-orlando,2025-12-27T21:56:13.501006
cmhrc,Hyatt Regency Columbus,350 North High Street,"Columbus, Ohio, United States, 43215",,"['Business Services', 'Digital Check-In', 'Fitness Center', 'Free Internet Access', 'Laundry', 'Meeting Facilities', 'Valet Parking', 'Self-Parking', 'Pet Friendly', 'Restaurant On-Site', 'Room Service']","We Are Pet Friendly
Your pets are welcome at Hyatt Regency Columbus. Just let the hotel know about your dog’s arrival in advance. For those staying 30+ nights, a fee will be charged at the hotel’s discretion. *We welcome guests with disabilities traveling with their service animals. Service animals are not pets and are not subject to this Pet Policy. For more information, please contact the hotel.
Pet Fees
Up to 6 nights: $50 / 1 STAY
7-30 nights (additional fee): $100 / 1 STAY
Weight Limits
Individual pet weight limit:  50 Pounds
Combined pets weight limit: 75 Pounds
Maximum number of pets is 2.",['Pet Fees\nUp to 6 nights: $50 / 1 STAY\n7-30 nights (additional fee): $100 / 1 STAY'],"['Individual pet weight limit:  50 Pounds', 'Combined pets weight limit: 75 Pounds']",+16144631234,https://www.hyatt.com/hyatt-regency/en-US/cmhrc-hyatt-regency-columbus,2025-12-27T21:56:26.263464
naprn,Hyatt Regency Coconut Point Resort and Spa,5001 Coconut Road,"Bonita Springs, Florida, United States, 34134",,"['Business Services', 'Concierge', 'Digital Check-In', 'Digital Key', 'Fitness Center', 'Free Internet Access', 'Golf', 'Camp Hyatt', 'Meeting Facilities', 'Valet Parking', 'Self-Parking', 'Pool', 'Restaurant On-Site', 'Room Service', 'Spa']","We Are Pet Friendly
We are happy to welcome your traveling canine companions. Please inform the hotel at least three days before arrival that you’ll have a dog (or dogs) staying with you. 30 or more nights: a price will be determined at the resort’s discretion. *We welcome guests with disabilities traveling with their service animals. Service animals are not pets and are not subject to this Pet Policy. For more information, please contact the hotel.
Pet Fees
1 to 6 nights: $175 / 1 STAY + $175 7 to 30 nights (additional deep cleaning fee)
Weight Limits
Individual pet weight limit:  50 Pounds
Combined pets weight limit: 75 Pounds
Maximum number of pets is 2.",['Pet Fees\n1 to 6 nights: $175 / 1 STAY + $175 7 to 30 nights (additional deep cleaning fee)'],"['Individual pet weight limit:  50 Pounds', 'Combined pets weight limit: 75 Pounds']",+12394441234,https://www.hyatt.com/hyatt-regency/en-US/naprn-hyatt-regency-coconut-point-resort-and-spa,2025-12-27T21:56:40.993166
champ,Grand Hyatt Indian Wells Resort & Villas,44600 Indian Wells Lane,"Indian Wells, California, United States, 92210",,"['Business Services', 'Digital Check-In', 'Digital Key', 'Electric Vehicle Charging', 'Fitness Center', 'Free Internet Access', 'Golf', 'Meeting Facilities', 'Valet Parking', 'Self-Parking', 'Pet Friendly', 'Pool', 'Resort Property', 'Restaurant On-Site', 'Spa']","PETS ARE WELCOME
Your dogs are welcome at Grand Hyatt Indian Wells Resort and Villas. Some restrictions apply. Please contact us for complete details. Service animals are exempt from the dog fee. *We welcome guests with disabilities traveling with their service animals. Service animals are not pets and are not subject to this Pet Policy. For more information, please contact the hotel.
Pet Fees
1 - 6 nights: $175 / 1 STAY
7 nights or more (Additional fee for every six-night block): $175
Weight Limits
Individual pet weight limit:  75 Pounds
Combined pets weight limit: 100 Pounds
Maximum number of pets is 2.",['Pet Fees\n1 - 6 nights: $175 / 1 STAY\n7 nights or more (Additional fee for every six-night block): $175'],"['Individual pet weight limit:  75 Pounds', 'Combined pets weight limit: 100 Pounds']",+17607761234,https://www.hyatt.com/grand-hyatt/en-US/champ-grand-hyatt-indian-wells-resort-and-villas,2025-12-27T21:56:53.587299
seahs,Hyatt at Olive 8,1635 8th Avenue,"Seattle, Washington, United States, 98101",,"['Digital Check-In', 'Digital Key', 'Fitness Center', 'Free Internet Access', 'Meeting Facilities', 'Valet Parking', 'Pet Friendly', 'Pool', 'Restaurant On-Site', 'Spa']","Pets Are Welcome
Don’t let your favorite furry friend miss out on exploring the streets of downtown Seattle and sniffing out the best pet-friendly restaurants. Hyatt at Olive 8 welcomes your canine companion with a special pet bed and bowls for their stay. Our boutique hotel is located within walking distance of many trails and dog parks for the whole family to enjoy. For those staying 30+ nights, a fee will be charged at the hotel’s discretion.
PET FEES
1–6 nights: $100 / STAY
7-30 nights (Additional cleaning fee): $100
WEIGHT LIMITS
Individual pet weight limit:  50 Pounds
Combined pets weight limit: 75 Pounds
Maximum number of pets is 2.",['PET FEES\n1–6 nights: $100 / STAY\n7-30 nights (Additional cleaning fee): $100'],"['Individual pet weight limit:  50 Pounds', 'Combined pets weight limit: 75 Pounds']",+12066951234,https://www.hyatt.com/hyatt-hotels/en-US/seahs-hyatt-at-olive-8,2025-12-27T21:57:06.771438
seagh,Grand Hyatt Seattle,721 Pine Street,"Seattle, Washington, United States, 98101",,"['Concierge', 'Digital Check-In', 'Digital Key', 'Fitness Center', 'Free Internet Access', 'Laundry', 'Meeting Facilities', 'Valet Parking', 'Pet Friendly', 'Restaurant On-Site', 'Room Service']","PETS ARE WELCOME
Your four-legged family member deserves a luxury getaway too. Bring your furry friend along for a “paw-fect” stay at Grand Hyatt Seattle. Take them shopping or visit nearby dog parks and outdoor eateries in downtown Seattle. When it’s time for a nap, our pet-friendly hotel is waiting with a comfy bed and tasty treats. *We welcome guests with disabilities traveling with their service animals. Service animals are not pets and are not subject to this Pet Policy. For more information, please contact the hotel.
Pet Fees
Dogs Only: $100 / 1 STAY
Weight Limits
Individual pet weight limit:  50 Pounds
Combined pets weight limit: 75 Pounds
Maximum number of pets is 2.",['Pet Fees\nDogs Only: $100 / 1 STAY'],"['Individual pet weight limit:  50 Pounds', 'Combined pets weight limit: 75 Pounds']",+12067741234,https://www.hyatt.com/grand-hyatt/en-US/seagh-grand-hyatt-seattle,2025-12-27T21:57:18.767421
aruba,Hyatt Regency Aruba Resort Spa and Casino,J.E. Irausquin Blvd 85,"Palm Beach, Aruba",,"['Business Services', 'Casino', 'Concierge', 'Digital Check-In', 'Fitness Center', 'Free Internet Access', 'Free Parking', 'Camp Hyatt', 'Laundry', 'Meeting Facilities', 'Valet Parking', 'Self-Parking', 'Pool', 'Resort Property', 'Restaurant On-Site', 'Room Service', 'Spa']",,,,+18006570042,https://www.hyatt.com/hyatt-regency/en-US/aruba-hyatt-regency-aruba-resort-spa-and-casino,2025-12-27T21:57:30.891192
saogh,Grand Hyatt São Paulo,Avenida das Nacoes Unidas 13.301,"Sao Paulo, Brazil, 04578-000",,"['In-Room Chromecast', 'Concierge', 'Digital Check-In', 'Digital Key', 'Fitness Center', 'Free Internet Access', 'Laundry', 'Meeting Facilities', 'Valet Parking', 'Self-Parking', 'Pet Friendly', 'Pool', 'Restaurant On-Site', 'Room Service', 'Spa']","PETS ARE WELCOME
Your canine companions are welcome at our hotel. The hotel provides a pet park with pet toys, a green area and ample space for your furry friends to run. Upon check-in, every guest's pet receives a hygiene mat, water bowl and food bowl.
Pet Fees
Up to 3 nights: R$350 / 1 STAY
Each additional 3 night stay: R$50 / 1 STAY",['Pet Fees\nUp to 3 nights: R$350 / 1 STAY\nEach additional 3 night stay: R$50 / 1 STAY'],,+551128381234,https://www.hyatt.com/grand-hyatt/en-US/saogh-grand-hyatt-sao-paulo,2025-12-27T21:57:42.890115
wasph,Park Hyatt Washington D.C.,"1201 24th Street, NW","Washington, D.C., United States, 20037",,"['Business Services', 'Concierge', 'Digital Check-In', 'Digital Key', 'Electric Vehicle Charging', 'Fitness Center', 'Free Internet Access', 'Laundry', 'Meeting Facilities', 'Valet Parking', 'EV Stations', 'Pet Friendly', 'Pool', 'Restaurant On-Site', 'Room Service']","Pets Are Welcome
Explore the capital with your canine companion during your stay at our dog-friendly hotel in Washington D.C. A dog bed, water bowl and treats await your arrival, and we donate a portion of our pet fee to the Humane Rescue Alliance. Service animals are welcome and are not subject to this policy. For more information, please contact the hotel.
PET FEES
Price: $150 / WEEK
WEIGHT LIMITS
Individual pet weight limit:  50 Pounds
Combined pets weight limit: 75 Pounds
Maximum number of pets is 2.",['PET FEES\nPrice: $150 / WEEK'],"['Individual pet weight limit:  50 Pounds', 'Combined pets weight limit: 75 Pounds']",+12027891234,https://www.hyatt.com/park-hyatt/en-US/wasph-park-hyatt-washington-dc,2025-12-27T21:57:57.032098
merid,Hyatt Regency Merida,"Ave. Colon esq Calle 60, a 100 metros del Paseo Montejo","Merida, Mexico, 97000",,"['Business Services', 'Concierge', 'Fitness Center', 'Free Internet Access', 'Laundry', 'Meeting Facilities', 'Valet Parking', 'Self Parking', 'Pet Friendly', 'Pool', 'Restaurant On-Site', 'Room Service']","We Are Pet Friendly
We’re delighted to welcome your dogs and cats at Hyatt Regency Merida. Fees may change according to season and length of stay. For more information, please contact us at merida.regency@hyatt.com
Weight Limits
Individual pet weight limit:  22.7 kilograms
Combined pets weight limit: 34 kilograms
Maximum number of pets is 2.",,"['Individual pet weight limit:  22.7 kilograms', 'Combined pets weight limit: 34 kilograms']",+529999421234,https://www.hyatt.com/hyatt-regency/en-US/merid-hyatt-regency-merida,2025-12-27T21:58:10.289282
sanpa,"Park Hyatt Aviara Resort, Golf Club & Spa",7100 Aviara Resort Drive,"Carlsbad, California, United States, 92011",,"['Business Services', 'Concierge', 'Digital Check-In', 'Digital Key', 'Fitness Center', 'Free Internet Access', 'Golf', 'Laundry', 'Meeting Facilities', 'Valet Parking', 'Pet Friendly', 'Pool', 'Resort Property', 'Restaurant On-Site', 'Room Service', 'Spa']","Pets Are Welcome
Your pets are welcome at Park Hyatt Aviara Resort Golf Club & Spa. There is a standard pet fee, and additional charges may apply for excessive damage or cleaning.
PET FEES
Per pet: $150 / STAY
WEIGHT LIMITS
Individual pet weight limit:  50 Pounds
Combined pets weight limit: 75 Pounds
Maximum number of pets is 2.",['PET FEES\nPer pet: $150 / STAY'],"['Individual pet weight limit:  50 Pounds', 'Combined pets weight limit: 75 Pounds']",+17604481234,https://www.hyatt.com/park-hyatt/en-US/sanpa-park-hyatt-aviara-resort,2025-12-27T21:58:21.984500
chesa,"Hyatt Regency Chesapeake Bay Golf Resort, Spa and Marina",100 Heron Blvd. at Route 50,"Cambridge, Maryland, United States, 21613",,"['Concierge', 'Digital Check-In', 'Digital Key', 'Electric Vehicle Charging', 'Fitness Center', 'Free Internet Access', 'Free Parking', 'Golf', 'Camp Hyatt', 'Laundry', 'Meeting Facilities', 'Preferred Parking', 'Valet Parking', 'Pet Friendly', 'Pool', 'Resort Property', 'Restaurant On-Site', 'Room Service', 'Spa']","We Are Pet Friendly
We welcome your dog with a bowl, bed and tag with the resort name and phone number. Please settle Fido in for the night by 9:30 p.m. For stays beyond 30 nights, a deep-cleaning fee is at the hotel’s discretion. *We welcome guests with disabilities traveling with their service animals. Service animals are not pets and are not subject to this Pet Policy. For more information, please contact the hotel.
Pet Fees
Nonrefundable (up to six nights): $185 / 1 STAY + $185 Additional deep cleaning fee (7 to 30 nights)
Weight Limits
Maximum number of pets is 2.",['Pet Fees\nNonrefundable (up to six nights): $185 / 1 STAY + $185 Additional deep cleaning fee (7 to 30 nights)'],,+14109011234,https://www.hyatt.com/hyatt-regency/en-US/chesa-hyatt-regency-chesapeake-bay-golf-resort-spa-and-marina,2025-12-27T21:58:41.375315
kwest,Hyatt Centric Key West Resort & Spa,601 Front Street,"Key West, Florida, United States, 33040",,,,,,+13058091234,https://www.hyatt.com/hyatt-centric/en-US/kwest-hyatt-centric-key-west-resort-and-spa,2025-12-27T21:59:01.609846
phxaz,Andaz Scottsdale Resort & Bungalows,6114 N Scottsdale Road,"Scottsdale, Arizona, United States, 85253",,,,,,+14803681234,https://www.hyatt.com/andaz/en-US/phxaz-andaz-scottsdale-resort-and-bungalows,2025-12-27T21:59:34.670406
scott,Grand Hyatt Scottsdale Resort,7500 E. Doubletree Ranch Road,"Scottsdale, Arizona, United States, 85258",,"['In-Room Chromecast', 'Fitness Center', 'Free Internet Access', 'Golf', 'Laundry', 'Meeting Facilities', 'Valet Parking', 'Self-Parking', 'Pet Friendly', 'Pool', 'Resort Property', 'Restaurant On-Site', 'Room Service', 'Spa']","PETS ARE WELCOME
As a pet-friendly hotel in Scottsdale, we understand that pets are part of the family and aim to make our four-legged guests feel right at home. Upon arrival, a special welcome letter is given to your pet along with complimentary amenities in your room, suite or casita. Please note pet amenities are subject to change. For the convenience of all our guests, pets must weigh 50 pounds or less. Any pet over 50 pounds may be allowed at the resort's discretion. *We welcome guests with disabilities traveling with their service animals. Service animals are not pets and are not subject to this Pet Policy. For more information, please contact the hotel.
Pet Fees
1–6 nights: $150 / 1 STAY
7–30 nights (additional deep-cleaning fee, nonrefundable): $150 / 1 STAY
Weight Limits
Individual pet weight limit:  50 Pounds
Maximum number of pets is 1.","['Pet Fees\n1–6 nights: $150 / 1 STAY\n7–30 nights (additional deep-cleaning fee, nonrefundable): $150 / 1 STAY']",['Individual pet weight limit:  50 Pounds'],+14804441234,https://www.hyatt.com/grand-hyatt/en-US/scott-grand-hyatt-scottsdale-resort,2025-12-27T22:00:03.389816
sanas,Andaz San Diego,600 F Street,"San Diego, California, United States, 92101",,,,,,+16198491234,https://www.hyatt.com/andaz/en-US/sanas-andaz-san-diego,2025-12-27T22:00:37.604861
oggrm,Hyatt Regency Maui Resort and Spa,200 Nohea Kai Drive,"Lahaina, Hawaii, United States, 96761-1985",,"['Business Services', 'Concierge', 'Electric Vehicle Charging', 'Fitness Center', 'Free Internet Access', 'Golf', 'Laundry', 'Meeting Facilities', 'Valet Parking', 'Self-Parking', 'Pet Friendly', 'Pool', 'Resort Property', 'Restaurant On-Site', 'Room Service', 'Spa']","We Are Pet Friendly
We are delighted to have your furry friends as our guests at our pet friendly hotel on Maui. *We welcome guests with disabilities traveling with their service animals. Service animals are not pets and are not subject to this Pet Policy. For more information, please contact the hotel.
Pet Fees
Up to six nights: $150 / 1 STAY + $150 Seven to 30 days (additional services charge)
Weight Limits
Individual pet weight limit:  50 Pounds
Combined pets weight limit: 75 Pounds
Maximum number of pets is 2.",['Pet Fees\nUp to six nights: $150 / 1 STAY + $150 Seven to 30 days (additional services charge)'],"['Individual pet weight limit:  50 Pounds', 'Combined pets weight limit: 75 Pounds']",+18086611234,https://www.hyatt.com/hyatt-regency/en-US/oggrm-hyatt-regency-maui-resort-and-spa,2025-12-27T22:01:02.838738
morrm,Hyatt Regency Morristown,3 Speedwell Avenue,"Morristown, New Jersey, United States, 07960",,"['Business Services', 'Digital Check-In', 'Digital Key', 'Fitness Center', 'Free Internet Access', 'Meeting Facilities', 'Valet Parking', 'Self Parking', 'Restaurant On-Site']",,,,+19736471234,https://www.hyatt.com/hyatt-regency/en-US/morrm-hyatt-regency-morristown,2025-12-27T22:01:27.726798
bueph,Palacio Duhau - Park Hyatt Buenos Aires,Avenida Alvear 1661,"Buenos Aires, Argentina, C1014AAD",,"['Concierge', 'Digital Key', 'Meeting Facilities', 'Valet Parking', 'Pet Friendly', 'Pool', 'Restaurant On-Site', 'Room Service', 'Spa']","Pets Are Welcome
Palacio Duhau - Park Hyatt Buenos Aires welcomes your traveling canine companions. We offer a bed, a dog bowl and treats in your suite or room. All dogs must be housebroken.
PET FEES
1–6 nights: $100 / STAY
7–30 nights (includes cleaning fee): $200 / STAY
WEIGHT LIMITS
Individual pet weight limit:  50 Pounds",['PET FEES\n1–6 nights: $100 / STAY\n7–30 nights (includes cleaning fee): $200 / STAY'],['Individual pet weight limit:  50 Pounds'],+541151711234,https://www.hyatt.com/park-hyatt/en-US/bueph-palacio-duhau-park-hyatt-buenos-aires,2025-12-27T22:01:51.532226
delrh,Hyatt Regency Dehradun Resort and Spa,"Malsi Forest Edge, Mussoorie Road","Dehradun, Uttarakhand, India, 248009",,"['Business Services', 'Concierge', 'Digital Key', 'Electric Vehicle Charging', 'Fitness Center', 'Free Internet Access', 'Free Parking', 'Camp Hyatt', 'Laundry', 'Meeting Facilities', 'Valet Parking', 'Self-Parking', 'Pet Friendly', 'Pool', 'Resort Property', 'Restaurant On-Site', 'Room Service', 'Spa']","We Are Pet Friendly
We gladly welcome your most cherished travel companions, whether they’re dogs or cats. Please inform us you’ll bring your pet(s) with you at least three days before arrival.
Pet Fees
Add on for your pet INR 1,500 plus taxes per night, which includes: Petbed, food bowl, and pet food during the stay. : ₹1,500 / 1 NIGHT
Weight Limits
Individual pet weight limit:  22 kilograms
Combined pets weight limit: 35 kilograms
Maximum number of pets is 2.","['Pet Fees\nAdd on for your pet INR 1,500 plus taxes per night, which includes: Petbed, food bowl, and pet food during the stay. : ₹1,500 / 1 NIGHT']","['Individual pet weight limit:  22 kilograms', 'Combined pets weight limit: 35 kilograms']",+911356171234,https://www.hyatt.com/hyatt-regency/en-US/delrh-hyatt-regency-dehradun,2025-12-27T22:02:37.839226
sanrs,Manchester Grand Hyatt San Diego,1 Market Place,"San Diego, California, United States, 92101",,"['Business Services', 'Concierge', 'Digital Check-In', 'Digital Key', 'Electric Vehicle Charging', 'Fitness Center', 'Free Internet Access', 'Laundry', 'Meeting Facilities', 'Valet Parking', 'Self-Parking', 'Pet Friendly', 'Pool', 'Restaurant On-Site', 'Room Service']","PETS ARE WELCOME
Welcome to our pet-friendly hotel on San Diego’s waterfront. For stays beyond 30 nights, a deep-cleaning fee will be at the hotel's discretion. *We welcome guests with disabilities traveling with their service animals. Service animals are not pets and are not subject to this Pet Policy. For more information, please contact the hotel.
Pet Fees
1-6 Nights: $100 + $100 7-30 Nights
Weight Limits
Individual pet weight limit:  50 Pounds
Combined pets weight limit: 75 Pounds
Maximum number of pets is 2.",['Pet Fees\n1-6 Nights: $100 + $100 7-30 Nights'],"['Individual pet weight limit:  50 Pounds', 'Combined pets weight limit: 75 Pounds']",,https://www.hyatt.com/grand-hyatt/en-US/sanrs-manchester-grand-hyatt-san-diego,2025-12-27T22:02:52.312172
