hotel_code,hotel_name,address,city,state,country,phone,rating,description,card_price,overview_table_json,pets_json,parking_json,amenities_json,nearby_json,airport_json,is_pet_friendly,last_updated
MAR-2-5,Courtyard by Marriott Montgomery Prattville,"265 Vaughan Lane Pell City, Alabama, USA, 35125",Pell City,Alabama,USA,+1 205-291-1700,4.3,"Find sweet home-away-from-home at our Prattville, AL hotel",,"{""CHECK IN"": ""CHECK IN: 03:00 PM"", ""CHECK OUT"": ""CHECK OUT: 12:00 PM"", ""This property has a smoke-free policy"": true, ""See Accessibility Features"": true}",{},{},[],[],"[{""airport"": ""Montgomery Regional Airport (MGM)"", ""details"": []}]",false,2025-12-25T10:26:32.265029
MAR-2-7,TownePlace Suites by Marriott Mobile Saraland,,,,,,4.2,"Stay in the Know , Stay Informed , # 1 with Business & Families in Mobile & Saraland",,{},{},{},[],[],[],false,2025-12-25T10:26:59.429520
MAR-2-8,Courtyard by Marriott Troy,"2954 Township Boulevard Saraland, Alabama, USA, 36571",Saraland,Alabama,USA,+1 251-333-1103,3.7,"A top-rated Troy, AL hotel offering modern amenities for business travelers and vacationers.",,"{""CHECK IN"": ""CHECK IN: 03:00 PM"", ""CHECK OUT"": ""CHECK OUT: 11:00 AM"", ""This property has a smoke-free policy"": true, ""See Accessibility Features"": true}",{},{},[],[],"[{""airport"": ""Montgomery Regional Airport (MGM)"", ""details"": []}, {""airport"": ""Dothan Regional Airport (DHN)"", ""details"": []}]",false,2025-12-25T10:27:02.032396
MAR-2-10,SpringHill Suites by Marriott Tuscaloosa,,,,,,4.4,Hotel near Tuscaloosa offering spacious suites and free breakfast near the University of Alabama.,,{},{},{},[],[],[],false,2025-12-25T10:27:29.211071
MAR-1-1,Aloft Anchorage,,,,,,3.9,"Our pet friendly hotel in Anchorage, AK offers cocktails and bites at WXYZ lounge.",,{},{},{},[],[],[],true,2025-12-25T10:27:36.176928
MAR-1-2,Residence Inn by Marriott Anchorage Midtown,"310 West 36th Avenue Anchorage, Alaska, USA, 99503",Anchorage,Alaska,USA,+1 907-273-3000,4.3,"Extended-stay, pet and family-friendly hotel in Anchorage, AK with free Wi-Fi.",,"{""CHECK IN"": ""CHECK IN: 03:00 PM"", ""CHECK OUT"": ""CHECK OUT: 11:00 AM"", ""This property has a smoke-free policy"": true, ""See Accessibility Features"": true}",{},{},"[""Free high-speed internet"", ""Pool"", ""Fitness center"", ""Free breakfast"", ""Kitchen"", ""Pet friendly"", ""Parking"", ""Meeting event space"", ""Cash machine/ATM"", ""Mobility accessible rooms"", ""Storage space"", ""Valet same day dry cleaning"", ""Coffee/tea in-room"", ""Coffee in lobby"", ""Local restaurant dinner delivery"", ""Grocery shopping service"", ""Safe deposit boxes, front desk"", ""Laundry on-site"", ""All public areas non-smoking"", ""Bar-B-Q and/or picnic area"", ""Housekeeping"", ""Car Rental, Nearby""]",[],"[{""airport"": ""Ted Stevens Anchorage International Airport (ANC)"", ""details"": []}, {""airport"": ""Other Transportation"", ""details"": [""Bus Station"", ""Benson & New Seward ESE"", ""Downtown Transit Center"", ""Car Rentals"", ""Hertz"", ""Train Station"", ""Alaska Railroad""]}]",true,2025-12-25T10:27:39.831613
MAR-1-4,TownePlace Suites by Marriott Anchorage Midtown,,,,,,4.2,"Extended-stay, family-friendly hotel in Anchorage, AK featuring suites with full kitchens.",,{},{},{},[],[],[],false,2025-12-25T10:28:07.037571
MAR-1-5,Four Points by Sheraton Juneau,"600 E. 32nd Avenue Anchorage, Alaska, USA, 99503",Anchorage,Alaska,USA,+1 907-334-8000,3.6,,,"{""CHECK IN"": ""CHECK IN: 04:00 PM"", ""CHECK OUT"": ""CHECK OUT: 12:00 PM"", ""This property has a smoke-free policy"": true, ""See Accessibility Features"": true}",{},{},[],[],"[{""airport"": ""Juneau International Airport (JNU)"", ""details"": []}, {""airport"": ""Other Transportation"", ""details"": [""Bus Station"", ""Downtown Transit Center"", ""Car Rentals"", ""Avis"", ""Phone:"", ""+1 907-789-9814"", ""Budget"", ""Phone:"", ""+1 907-790-1086"", ""Enterprise Rent-A-Car""]}]",false,2025-12-25T10:28:09.635004
MAR-1-1,Residence Inn by Marriott Phoenix West/Avondale,,,,,,4.5,"Your suite, your way! Enjoy your trip to Phoenix at our brand new property.",,{},{},{},[],[],[],false,2025-12-25T10:28:16.181085
MAR-1-1,Fairfield by Marriott Inn & Suites Albertville,"328 George Wallace Drive Albertville, Alabama, USA, 35951",Albertville,Alabama,USA,+1 256-660-2396,4.6,"All-new Albertville, AL hotel with complimentary breakfast near Sand Mountain Park and Amphitheater",,"{""CHECK IN"": ""CHECK IN: 03:00 PM"", ""CHECK OUT"": ""CHECK OUT: 12:00 PM"", ""This property has a smoke-free policy"": true, ""See Accessibility Features"": true}",{},{},"[""Free high-speed internet"", ""Pool"", ""Fitness center"", ""Free breakfast"", ""Pet friendly"", ""Parking"", ""Mobility accessible rooms"", ""Coffee/tea in-room"", ""Coffee in lobby"", ""Safe deposit boxes, front desk"", ""Laundry on-site"", ""Laundry on-site, coin operated"", ""All public areas non-smoking"", ""Front desk staffed"", ""Bar-B-Q and/or picnic area"", ""Car Rental, Nearby""]",[],"[{""airport"": ""Birmingham-Shuttlesworth International Airport (BHM)"", ""details"": []}, {""airport"": ""Huntsville International Airport (HSV)"", ""details"": []}, {""airport"": ""Other Transportation"", ""details"": [""Car Rentals"", ""Enterprise Rent-A-Car"", ""Phone:"", ""+0 256-894-4508"", ""Hertz"", ""Phone:"", ""+1 256-551-2744""]}]",true,2025-12-25T10:33:31.126812
MAR-1-3,"Elyton Hotel, Autograph Collection","1928 1st Avenue North Birmingham, Alabama, USA, 35203",Birmingham,Alabama,USA,+1 205-731-3600,4.1,"Great location, excellent service, memorable stay.",,"{""CHECK IN"": ""CHECK IN: 04:00 PM"", ""CHECK OUT"": ""CHECK OUT: 11:00 AM"", ""This property has a smoke-free policy"": true, ""See Accessibility Features"": true}",{},{},"[""Free high-speed internet"", ""Fitness center"", ""Pet friendly"", ""Parking"", ""Meeting event space"", ""Mobility accessible rooms"", ""Foreign exchange, nearby"", ""Grab-n-Go breakfast, fee from: 16 USD"", ""Hot breakfast, fee from: 18 USD"", ""Continental breakfast, fee from: 14 USD"", ""Storage space"", ""Full American breakfast, fee from: 16 USD"", ""Cocktail lounge with light fare"", ""Valet same day dry cleaning"", ""Coffee/tea in-room"", ""Coffee in lobby"", ""Newspaper in lobby"", ""Concierge desk"", ""Safe deposit boxes, front desk"", ""All public areas non-smoking"", ""Gift/newsstand"", ""Valet dry-cleaning"", ""Housekeeping"", ""Car Rental, Nearby"", ""Housekeeping service daily""]",[],"[{""airport"": ""Montgomery Regional Airport (MGM)"", ""details"": []}, {""airport"": ""Birmingham-Shuttlesworth International Airport (BHM)"", ""details"": []}, {""airport"": ""Huntsville International Airport (HSV)"", ""details"": []}, {""airport"": ""Other Transportation"", ""details"": [""Car Rentals"", ""United Airlines"", ""American Airlines"", ""Delta Airlines"", ""Hertz"", ""Phone:"", ""+1 205-320-2533"", ""Budget"", ""Phone:"", ""+1 205-322-3596""]}]",true,2025-12-25T10:34:04.368453
MAR-1-5,Residence Inn by Marriott Birmingham Downtown at UAB,"821 20th Street South Birmingham, Alabama, USA, 35205",Birmingham,Alabama,USA,+1 205-731-9595,4.1,Fully remodeled all-suite hotel at Univ of Alabama Birmingham with full kitchens and free breakfast.,,"{""CHECK IN"": ""CHECK IN: 04:00 PM"", ""CHECK OUT"": ""CHECK OUT: 11:00 AM"", ""This property has a smoke-free policy"": true, ""See Accessibility Features"": true}",{},{},"[""Free high-speed internet"", ""Pool"", ""Fitness center"", ""Free breakfast"", ""Kitchen"", ""Pet friendly"", ""Parking"", ""Meeting event space"", ""Cash machine/ATM"", ""Beauty shop"", ""Barber"", ""Mobility accessible rooms"", ""Valet same day dry cleaning"", ""Coffee/tea in-room"", ""Coffee in lobby"", ""Local restaurant dinner delivery"", ""Grocery shopping service"", ""Safe deposit boxes, front desk"", ""Laundry on-site, coin operated"", ""All public areas non-smoking"", ""Front desk staffed"", ""Bar-B-Q and/or picnic area"", ""Valet dry-cleaning"", ""Housekeeping"", ""Car Rental, Nearby""]",[],"[{""airport"": ""Birmingham-Shuttlesworth International Airport (BHM)"", ""details"": []}, {""airport"": ""Other Transportation"", ""details"": [""Bus Station"", ""20th St S and 7th Ave S"", ""Greyhound Lines"", ""Car Rentals"", ""Continental Airlines"", ""Delta Airlines"", ""American Airlines"", ""Hertz"", ""Phone:"", ""+1 205-320-2533""]}]",true,2025-12-25T10:34:43.534615
MAR-1-7,Sheraton Birmingham Hotel,"2101 Richard Arrington Jr. Boulevard North Birmingham, Alabama, USA, 35203",Birmingham,Alabama,USA,+1 205-324-5000,3.1,"Our uptown Birmingham hotel offers direct access to the BJCC, Legacy Arena and downtown Birmingham",,"{""CHECK IN"": ""CHECK IN: 04:00 PM"", ""CHECK OUT"": ""CHECK OUT: 11:00 AM"", ""This property has a smoke-free policy"": true, ""See Accessibility Features"": true}",{},{},"[""Fitness center"", ""Pet friendly"", ""Parking"", ""Meeting event space"", ""Mobility accessible rooms"", ""Storage space"", ""Coffee/tea in-room"", ""Local restaurant dinner delivery"", ""Concierge desk"", ""Safe deposit boxes, front desk"", ""All public areas non-smoking"", ""Front desk staffed"", ""Housekeeping"", ""Car Rental, Nearby"", ""Housekeeping service daily""]",[],"[{""airport"": ""Birmingham-Shuttlesworth International Airport (BHM)"", ""details"": []}, {""airport"": ""Other Transportation"", ""details"": [""Bus Station"", ""BJCC"", ""Greyhound Bus"", ""Car Rentals"", ""Enterprise Rent-A-Car"", ""Phone:"", ""+1 205-591-1927"", ""Budget"", ""Phone:"", ""+1 205-322-3596""]}]",true,2025-12-25T10:35:17.554615
MAR-1-9,The Westin Birmingham,"2221 Richard Arrington Jr. Boulevard North Birmingham, Alabama, USA, 35203",Birmingham,Alabama,USA,+1 205-307-3600,3.5,"Our hotel in uptown Birmingham features spacious rooms and suites, a 24-hour gym and a rooftop pool.",,"{""CHECK IN"": ""CHECK IN: 04:00 PM"", ""CHECK OUT"": ""CHECK OUT: 11:00 AM"", ""This property does not have a smoke-free policy"": true, ""See Accessibility Features"": true}",{},{},"[""Pool"", ""Fitness center"", ""Pet friendly"", ""Parking"", ""Meeting event space"", ""Mobility accessible rooms"", ""Concierge desk"", ""Laundry on-site"", ""All public areas non-smoking"", ""Housekeeping"", ""Car Rental, Nearby"", ""Housekeeping service daily""]",[],"[{""airport"": ""Birmingham-Shuttlesworth International Airport (BHM)"", ""details"": []}, {""airport"": ""Other Transportation"", ""details"": [""Bus Station"", ""24th St N and Richard Arrington Jr. Blvd"", ""Greyhound Bus Lines"", ""Car Rentals"", ""Hertz"", ""Phone:"", ""+1 205-320-2533"", ""National Car Rental"", ""Enterprise Rent-A-Car"", ""Phone:""]}]",true,2025-12-25T10:35:51.983686
MAR-2-1,Courtyard by Marriott Anniston Oxford,"289 Colonial Drive Oxford, Alabama, USA, 36203",Oxford,Alabama,USA,+1 256-831-7995,3.9,Near Choccolocco Park and Talledega speedway with onsite bar and indoor pool.,,"{""CHECK IN"": ""CHECK IN: 03:00 PM"", ""CHECK OUT"": ""CHECK OUT: 12:00 PM"", ""This property has a smoke-free policy"": true, ""See Accessibility Features"": true}",{},{},"[""Free high-speed internet"", ""Pool"", ""Fitness center"", ""Pet friendly"", ""Parking"", ""Meeting event space"", ""Barber"", ""Beauty shop"", ""Cash machine/ATM"", ""Mobility accessible rooms"", ""Grab-n-Go breakfast, fee from: 15 USD"", ""BISTRO"", ""Valet same day dry cleaning"", ""Coffee/tea in-room"", ""Local restaurant dinner delivery"", ""Newspaper in lobby"", ""Safe deposit boxes, front desk"", ""Laundry on-site"", ""Laundry on-site, coin operated"", ""All public areas non-smoking"", ""Valet dry-cleaning"", ""Housekeeping"", ""Car Rental, Nearby""]",[],"[{""airport"": ""Hartsfield-Jackson Atlanta International Airport (ATL)"", ""details"": []}, {""airport"": ""Birmingham-Shuttlesworth International Airport (BHM)"", ""details"": []}, {""airport"": ""Other Transportation"", ""details"": [""Bus Station"", ""Greyhound Bus Station"", ""Car Rentals"", ""Hertz"", ""Train Station"", ""Amtrak Station - ATN""]}]",true,2025-12-25T10:36:27.389098
MAR-2-3,TownePlace Suites by Marriott Oxford AL,"267 Hospitality Way Oxford, Alabama, USA, 36203",Oxford,Alabama,USA,+1 205-434-9100,4.4,TownePlace Suites Oxford AL features modern style and flexible spaces - the way you like it.,,"{""CHECK IN"": ""CHECK IN: 04:00 PM"", ""CHECK OUT"": ""CHECK OUT: 11:00 AM"", ""This property has a smoke-free policy"": true, ""See Accessibility Features"": true}",{},{},"[""Free high-speed internet"", ""Pool"", ""Fitness center"", ""Free breakfast"", ""Kitchen"", ""Pet friendly"", ""Parking"", ""Mobility accessible rooms"", ""Coffee/tea in-room"", ""Coffee in lobby"", ""Local restaurant dinner delivery"", ""Newspaper in lobby"", ""Grocery shopping service"", ""Safe deposit boxes, front desk"", ""Laundry on-site"", ""Laundry on-site, coin operated"", ""All public areas non-smoking"", ""Front desk staffed"", ""Bar-B-Q and/or picnic area"", ""Car Rental, Nearby"", ""Housekeeping service daily""]",[],"[{""airport"": ""Hartsfield-Jackson Atlanta International Airport (ATL)"", ""details"": []}, {""airport"": ""Birmingham-Shuttlesworth International Airport (BHM)"", ""details"": []}, {""airport"": ""Other Transportation"", ""details"": [""Car Rentals"", ""Hertz"", ""Phone:"", ""+1 256-831-6479""]}]",true,2025-12-25T10:36:59.055486
MAR-2-5,Courtyard by Marriott Montgomery Prattville,"2620 Legends Parkway Prattville, Alabama, USA, 36066",Prattville,Alabama,USA,+1 334-290-1270,4.3,"Find sweet home-away-from-home at our Prattville, AL hotel",,"{""CHECK IN"": ""CHECK IN: 03:00 PM"", ""CHECK OUT"": ""CHECK OUT: 12:00 PM"", ""This property has a smoke-free policy"": true, ""See Accessibility Features"": true}",{},{},"[""Free high-speed internet"", ""Pool"", ""Fitness center"", ""Pet friendly"", ""Parking"", ""Meeting event space"", ""Barber"", ""Mobility accessible rooms"", ""Grab-n-Go breakfast, fee from: 12 USD"", ""BISTRO"", ""Valet same day dry cleaning"", ""Coffee/tea in-room"", ""Local restaurant dinner delivery"", ""Safe deposit boxes, front desk"", ""Laundry on-site"", ""Laundry on-site, coin operated"", ""All public areas non-smoking"", ""Front desk staffed"", ""Bar-B-Q and/or picnic area"", ""Housekeeping"", ""Car Rental, Nearby""]",[],"[{""airport"": ""Montgomery Regional Airport (MGM)"", ""details"": []}, {""airport"": ""Other Transportation"", ""details"": [""Car Rentals"", ""Hertz"", ""Phone:"", ""+1 334-285-8570""]}]",true,2025-12-25T10:37:30.114811
MAR-2-7,TownePlace Suites by Marriott Mobile Saraland,"2954 Township Boulevard Saraland, Alabama, USA, 36571",Saraland,Alabama,USA,+1 251-333-1103,4.2,"Stay in the Know , Stay Informed , # 1 with Business & Families in Mobile & Saraland",,"{""CHECK IN"": ""CHECK IN: 03:00 PM"", ""CHECK OUT"": ""CHECK OUT: 11:00 AM"", ""This property has a smoke-free policy"": true, ""See Accessibility Features"": true}",{},{},"[""Free high-speed internet"", ""Pool"", ""Fitness center"", ""Free breakfast"", ""Kitchen"", ""Pet friendly"", ""Parking"", ""Mobility accessible rooms"", ""Valet same day dry cleaning"", ""Coffee/tea in-room"", ""Coffee in lobby"", ""Local restaurant dinner delivery"", ""Newspaper in lobby"", ""Safe deposit boxes, front desk"", ""Laundry on-site"", ""Laundry on-site, coin operated"", ""All public areas non-smoking"", ""Front desk staffed"", ""Bar-B-Q and/or picnic area"", ""Housekeeping""]",[],"[{""airport"": ""Mobile Regional Airport (MOB)"", ""details"": []}, {""airport"": ""Pensacola International Airport (PNS)"", ""details"": []}, {""airport"": ""Gulfport-Biloxi International Airport (GPT)"", ""details"": []}]",true,2025-12-25T10:38:01.473359
MAR-2-9,Residence Inn by Marriott Tuscaloosa,"211 Rice Mine Road Loop Tuscaloosa, Alabama, USA, 35406",Tuscaloosa,Alabama,USA,+1 205-548-1010,4.2,"Hotel in Tuscaloosa, AL with extended-stay suites and free breakfast near the University of Alabama.",,"{""CHECK IN"": ""CHECK IN: 04:00 PM"", ""CHECK OUT"": ""CHECK OUT: 11:00 AM"", ""This property has a smoke-free policy"": true, ""See Accessibility Features"": true}",{},{},"[""Free high-speed internet"", ""Pool"", ""Fitness center"", ""Free breakfast"", ""Kitchen"", ""Pet friendly"", ""Parking"", ""Meeting event space"", ""Mobility accessible rooms"", ""Valet same day dry cleaning"", ""Coffee/tea in-room"", ""Coffee in lobby"", ""Safe deposit boxes, front desk"", ""Laundry on-site"", ""Laundry on-site, coin operated"", ""All public areas non-smoking"", ""Front desk staffed"", ""Bar-B-Q and/or picnic area"", ""Housekeeping"", ""Car Rental, Nearby""]",[],"[{""airport"": ""Tuscaloosa (TCL)"", ""details"": []}, {""airport"": ""Birmingham-Shuttlesworth International Airport (BHM)"", ""details"": []}, {""airport"": ""Other Transportation"", ""details"": [""Bus Station"", ""Tuscaloosa Bus Station"", ""Car Rentals"", ""Hertz"", ""Phone:"", ""+1 205-349-6144"", ""Train Station"", ""Amtrak Tuscaloosa Depot (TCL)""]}]",true,2025-12-25T10:38:33.478034
MAR-1-1,Aloft Anchorage,"310 West 36th Avenue Anchorage, Alaska, USA, 99503",Anchorage,Alaska,USA,+1 907-273-3000,3.9,"Our pet friendly hotel in Anchorage, AK offers cocktails and bites at WXYZ lounge.",,"{""CHECK IN"": ""CHECK IN: 03:00 PM"", ""CHECK OUT"": ""CHECK OUT: 11:00 AM"", ""This property has a smoke-free policy"": true, ""See Accessibility Features"": true}",{},{},"[""Free high-speed internet"", ""Pool"", ""Fitness center"", ""Pet friendly"", ""Parking"", ""Meeting event space"", ""Mobility accessible rooms"", ""Grab-n-Go breakfast, fee from: 10 USD"", ""Hot breakfast, fee from: 15 USD"", ""Cocktail lounge with light fare"", ""Coffee/tea in-room"", ""Coffee in lobby"", ""Laundry on-site, coin operated"", ""All public areas non-smoking"", ""Car Rental, Nearby""]",[],"[{""airport"": ""Ted Stevens Anchorage International Airport (ANC)"", ""details"": []}, {""airport"": ""Other Transportation"", ""details"": [""Bus Station"", ""36th Avenue & C Street WNW"", ""Car Rentals"", ""Hertz"", ""Phone:"", ""+1 907-562-4594"", ""Train Station"", ""Anchorage Depot""]}]",true,2025-12-25T10:39:18.516587
MAR-1-3,Sheraton Anchorage Hotel,"401 East 6th Avenue Anchorage, Alaska, USA, 99501",Anchorage,Alaska,USA,+1 907-276-8700,3.9,Downtown location with sweeping mountain views. Fitness Center & JADE Restaurant,,"{""CHECK IN"": ""CHECK IN: 04:00 PM"", ""CHECK OUT"": ""CHECK OUT: 11:00 AM"", ""This property has a smoke-free policy"": true, ""See Accessibility Features"": true}",{},{},"[""Free high-speed internet"", ""Fitness center"", ""Pet friendly"", ""Parking"", ""Meeting event space"", ""Mobility accessible rooms"", ""Hot breakfast, fee from: 28 USD"", ""Buffet breakfast, fee from: 28 USD"", ""Storage space"", ""Concierge Lounge Hours"", ""Full American breakfast, fee from: 28 USD"", ""Cocktail lounge with light fare"", ""Valet same day dry cleaning"", ""Coffee/tea in-room"", ""Local restaurant dinner delivery"", ""Safe deposit boxes, front desk"", ""Laundry on-site, coin operated"", ""All public areas non-smoking"", ""Front desk staffed"", ""Room service"", ""Valet dry-cleaning"", ""Housekeeping"", ""Car Rental, Nearby"", ""Housekeeping service daily""]",[],"[{""airport"": ""Ted Stevens Anchorage International Airport (ANC)"", ""details"": []}, {""airport"": ""Other Transportation"", ""details"": [""Bus Station"", ""The People Mover"", ""The Bus Accommodation Center (BABAC)"", ""Car Rentals"", ""Thrifty Car Rental"", ""Phone:"", ""+1 907-276-2855"", ""Train Station"", ""Alaska Railroad""]}]",true,2025-12-25T10:39:50.322366
MAR-1-5,Four Points by Sheraton Juneau,"51 Egan Drive Juneau, Alaska, USA, 99801",Juneau,Alaska,USA,+1 907-586-6900,3.6,,,"{""CHECK IN"": ""CHECK IN: 03:00 PM"", ""CHECK OUT"": ""CHECK OUT: 11:00 AM"", ""This property has a smoke-free policy"": true, ""See Accessibility Features"": true}",{},{},"[""Free high-speed internet"", ""Fitness center"", ""Pet friendly"", ""Parking"", ""Mobility accessible rooms"", ""Valet same day dry cleaning"", ""Coffee/tea in-room"", ""All public areas non-smoking"", ""Front desk staffed"", ""Housekeeping"", ""Car Rental, Nearby""]",[],"[{""airport"": ""Juneau International Airport (JNU)"", ""details"": []}, {""airport"": ""Other Transportation"", ""details"": [""Bus Station"", ""Downtown Transit Center"", ""Car Rentals"", ""Avis"", ""Phone:"", ""+1 907-789-9814"", ""Budget"", ""Phone:"", ""+1 907-790-1086"", ""Enterprise Rent-A-Car""]}]",true,2025-12-25T10:40:20.933563
MAR-1-3,TownePlace Suites by Marriott Bentonville Rogers,"3100 S.E. 14th Street Bentonville, Arkansas, USA, 72712",Bentonville,Arkansas,USA,+1 479-621-0202,4.3,"A welcome break on I-49, our hotel is near Rogers, Arkansas, and minutes from Walmart Headquarters.",,"{""CHECK IN"": ""CHECK IN: 03:00 PM"", ""CHECK OUT"": ""CHECK OUT: 12:00 PM"", ""This property has a smoke-free policy"": true, ""See Accessibility Features"": true}",{},{},"[""Free high-speed internet"", ""Pool"", ""Fitness center"", ""Free breakfast"", ""Kitchen"", ""Pet friendly"", ""Parking"", ""Barber"", ""Beauty shop"", ""Mobility accessible rooms"", ""Storage space"", ""Valet same day dry cleaning"", ""Coffee/tea in-room"", ""Coffee in lobby"", ""Local restaurant dinner delivery"", ""Safe deposit boxes, front desk"", ""Laundry on-site"", ""Laundry on-site, coin operated"", ""All public areas non-smoking"", ""Front desk staffed"", ""Bar-B-Q and/or picnic area"", ""Vending machines"", ""Valet dry-cleaning"", ""Housekeeping"", ""Car Rental, Nearby""]",[],"[{""airport"": ""Northwest Arkansas Regional Airport (XNA)"", ""details"": []}, {""airport"": ""Other Transportation"", ""details"": [""Bus Station"", ""NWACC Main Campus"", ""Greyhound Bus Station"", ""Car Rentals"", ""American Airlines"", ""Continental Airlines"", ""Delta Airlines"", ""Enterprise Rent-A-Car"", ""Phone:"", ""+1 479-631-7111""]}]",true,2025-12-25T10:41:37.053441
